roomNumber,bin,user_id,room_entry_sequence,join_result,waiting_start_time,waiting_start_nanoTime,waiting_start_epochNano,waiting_start_event_type,critical_enter_time,critical_enter_nanoTime,critical_enter_epochNano,critical_enter_event_type,critical_leave_time,critical_leave_nanoTime,critical_leave_epochNano,critical_leave_event_type,increment_before_time,increment_before_nanoTime,increment_before_epochNano,increment_after_time,increment_after_nanoTime,increment_after_epochNano
1257,1.0,yhjj853,1.0,SUCCESS,2025-07-21 08:32:53.441351300+00:00,21195101143800,1753086773439717632,PRE_JOIN_ATTEMPT,2025-07-21 08:32:53.441351300+00:00,21195101661800,1753086773440235520,CRITICAL_ENTER_EVENT,2025-07-21 08:32:53.441351300+00:00,21195101978100,1753086773440551936,SUCCESS,2025-07-21 08:32:53.441351300+00:00,21195101847200,1753086773440421120,2025-07-21 08:32:53.441351300+00:00,21195101925000,1753086773440498688
1257,1.0,yhjj898,2.0,SUCCESS,2025-07-21 08:32:53.447372100+00:00,21195107415800,1753086773445989632,PRE_JOIN_ATTEMPT,2025-07-21 08:32:53.447372100+00:00,21195107508300,1753086773446082048,CRITICAL_ENTER_EVENT,2025-07-21 08:32:53.447372100+00:00,21195108958700,1753086773447532544,SUCCESS,2025-07-21 08:32:53.447372100+00:00,21195107621800,1753086773446195712,2025-07-21 08:32:53.447372100+00:00,21195107728300,1753086773446302208
1257,1.0,yhjj829,4.0,SUCCESS,2025-07-21 08:32:53.447372100+00:00,21195107568600,1753086773446142464,PRE_JOIN_ATTEMPT,2025-07-21 08:32:53.453392100+00:00,21195113414300,1753086773451988224,CRITICAL_ENTER_EVENT,2025-07-21 08:32:53.453392100+00:00,21195114005800,1753086773452579584,SUCCESS,2025-07-21 08:32:53.453392100+00:00,21195113766000,1753086773452339712,2025-07-21 08:32:53.453392100+00:00,21195113903000,1753086773452476928
1257,1.0,yhjj930,3.0,SUCCESS,2025-07-21 08:32:53.447372100+00:00,21195107557500,1753086773446131200,PRE_JOIN_ATTEMPT,2025-07-21 08:32:53.453392100+00:00,21195114248000,1753086773452821760,CRITICAL_ENTER_EVENT,2025-07-21 08:32:53.453392100+00:00,21195114485100,1753086773453058816,SUCCESS,2025-07-21 08:32:53.453392100+00:00,21195114373900,1753086773452947712,2025-07-21 08:32:53.453392100+00:00,21195114434900,1753086773453008640
1257,1.0,yhjj836,5.0,SUCCESS,2025-07-21 08:32:53.447372100+00:00,21195108315600,1753086773446889472,PRE_JOIN_ATTEMPT,2025-07-21 08:32:53.453392100+00:00,21195114587600,1753086773453161472,CRITICAL_ENTER_EVENT,2025-07-21 08:32:53.455142500+00:00,21195114831300,1753086773453405184,SUCCESS,2025-07-21 08:32:53.453392100+00:00,21195114738800,1753086773453312512,2025-07-21 08:32:53.453392100+00:00,21195114786400,1753086773453360128
1257,1.0,yhjj830,6.0,SUCCESS,2025-07-21 08:32:53.451386400+00:00,21195112315300,1753086773450889216,PRE_JOIN_ATTEMPT,2025-07-21 08:32:53.455142500+00:00,21195116443400,1753086773455017216,CRITICAL_ENTER_EVENT,2025-07-21 08:32:53.457152100+00:00,21195117033100,1753086773455606784,SUCCESS,2025-07-21 08:32:53.457152100+00:00,21195116842000,1753086773455415808,2025-07-21 08:32:53.457152100+00:00,21195116982300,1753086773455556096
1257,1.0,yhjj909,8.0,SUCCESS,2025-07-21 08:32:53.461169700+00:00,21195121705500,1753086773460279296,PRE_JOIN_ATTEMPT,2025-07-21 08:32:53.461169700+00:00,21195121783400,1753086773460357120,CRITICAL_ENTER_EVENT,2025-07-21 08:32:53.461169700+00:00,21195121981400,1753086773460555264,SUCCESS,2025-07-21 08:32:53.461169700+00:00,21195121899200,1753086773460473088,2025-07-21 08:32:53.461169700+00:00,21195121943900,1753086773460517632
1257,1.0,yhjj819,7.0,SUCCESS,2025-07-21 08:32:53.461169700+00:00,21195121656000,1753086773460229888,PRE_JOIN_ATTEMPT,2025-07-21 08:32:53.461169700+00:00,21195122538000,1753086773461111808,CRITICAL_ENTER_EVENT,2025-07-21 08:32:53.463177800+00:00,21195123139300,1753086773461713152,SUCCESS,2025-07-21 08:32:53.461169700+00:00,21195122717800,1753086773461291520,2025-07-21 08:32:53.461169700+00:00,21195122789700,1753086773461363456
1257,1.0,yhjj837,9.0,SUCCESS,2025-07-21 08:32:53.461169700+00:00,21195121825300,1753086773460399104,PRE_JOIN_ATTEMPT,2025-07-21 08:32:53.463177800+00:00,21195123706200,1753086773462279936,CRITICAL_ENTER_EVENT,2025-07-21 08:32:53.463177800+00:00,21195124031500,1753086773462605312,SUCCESS,2025-07-21 08:32:53.463177800+00:00,21195123841000,1753086773462414848,2025-07-21 08:32:53.463177800+00:00,21195123902800,1753086773462476544
1257,1.0,yhjj918,10.0,SUCCESS,2025-07-21 08:32:53.470954200+00:00,21195132632800,1753086773471206656,PRE_JOIN_ATTEMPT,2025-07-21 08:32:53.472964400+00:00,21195133162200,1753086773471736064,CRITICAL_ENTER_EVENT,2025-07-21 08:32:53.472964400+00:00,21195133348400,1753086773471922176,SUCCESS,2025-07-21 08:32:53.472964400+00:00,21195133270500,1753086773471844352,2025-07-21 08:32:53.472964400+00:00,21195133312200,1753086773471886080
1257,1.0,yhjj929,11.0,SUCCESS,2025-07-21 08:32:53.472964400+00:00,21195134347000,1753086773472920832,PRE_JOIN_ATTEMPT,2025-07-21 08:32:53.472964400+00:00,21195134423000,1753086773472996864,CRITICAL_ENTER_EVENT,2025-07-21 08:32:53.472964400+00:00,21195134655600,1753086773473229312,SUCCESS,2025-07-21 08:32:53.472964400+00:00,21195134509700,1753086773473083392,2025-07-21 08:32:53.472964400+00:00,21195134552900,1753086773473126656
1257,1.0,yhjj886,12.0,SUCCESS,2025-07-21 08:32:53.472964400+00:00,21195134585000,1753086773473158912,PRE_JOIN_ATTEMPT,2025-07-21 08:32:53.474973500+00:00,21195134913500,1753086773473487360,CRITICAL_ENTER_EVENT,2025-07-21 08:32:53.474973500+00:00,21195135114300,1753086773473688064,SUCCESS,2025-07-21 08:32:53.474973500+00:00,21195135034900,1753086773473608704,2025-07-21 08:32:53.474973500+00:00,21195135074300,1753086773473648128
1257,1.0,yhjj838,13.0,SUCCESS,2025-07-21 08:32:53.474973500+00:00,21195135935900,1753086773474509824,PRE_JOIN_ATTEMPT,2025-07-21 08:32:53.474973500+00:00,21195136155100,1753086773474728960,CRITICAL_ENTER_EVENT,2025-07-21 08:32:53.476983500+00:00,21195138022400,1753086773476596224,SUCCESS,2025-07-21 08:32:53.476983500+00:00,21195137909000,1753086773476482816,2025-07-21 08:32:53.476983500+00:00,21195137976700,1753086773476550400
1257,1.0,yhjj914,14.0,SUCCESS,2025-07-21 08:32:53.474973500+00:00,21195136300200,1753086773474874112,PRE_JOIN_ATTEMPT,2025-07-21 08:32:53.476983500+00:00,21195138492200,1753086773477065984,CRITICAL_ENTER_EVENT,2025-07-21 08:32:53.478992300+00:00,21195140458900,1753086773479032576,SUCCESS,2025-07-21 08:32:53.478992300+00:00,21195139603500,1753086773478177280,2025-07-21 08:32:53.478992300+00:00,21195140341200,1753086773478915072
1257,1.0,yhjj844,15.0,SUCCESS,2025-07-21 08:32:53.476983500+00:00,21195137666100,1753086773476239872,PRE_JOIN_ATTEMPT,2025-07-21 08:32:53.478992300+00:00,21195140592000,1753086773479165696,CRITICAL_ENTER_EVENT,2025-07-21 08:32:53.480998900+00:00,21195140911200,1753086773479484928,SUCCESS,2025-07-21 08:32:53.480998900+00:00,21195140735700,1753086773479309568,2025-07-21 08:32:53.480998900+00:00,21195140873100,1753086773479446784
1257,1.0,yhjj858,16.0,SUCCESS,2025-07-21 08:32:53.476983500+00:00,21195137937900,1753086773476511744,PRE_JOIN_ATTEMPT,2025-07-21 08:32:53.480998900+00:00,21195141103000,1753086773479676928,CRITICAL_ENTER_EVENT,2025-07-21 08:32:53.480998900+00:00,21195141409800,1753086773479983616,SUCCESS,2025-07-21 08:32:53.480998900+00:00,21195141272400,1753086773479846144,2025-07-21 08:32:53.480998900+00:00,21195141346100,1753086773479919872
1257,1.0,yhjj835,17.0,SUCCESS,2025-07-21 08:32:53.476983500+00:00,21195138055500,1753086773476629248,PRE_JOIN_ATTEMPT,2025-07-21 08:32:53.480998900+00:00,21195141674300,1753086773480248064,CRITICAL_ENTER_EVENT,2025-07-21 08:32:53.480998900+00:00,21195141926900,1753086773480500736,SUCCESS,2025-07-21 08:32:53.480998900+00:00,21195141830900,1753086773480404736,2025-07-21 08:32:53.480998900+00:00,21195141885400,1753086773480459264
1257,1.0,yhjj820,18.0,SUCCESS,2025-07-21 08:32:53.476983500+00:00,21195138234100,1753086773476807936,PRE_JOIN_ATTEMPT,2025-07-21 08:32:53.480998900+00:00,21195142097300,1753086773480670976,CRITICAL_ENTER_EVENT,2025-07-21 08:32:53.480998900+00:00,21195142293200,1753086773480867072,SUCCESS,2025-07-21 08:32:53.480998900+00:00,21195142222900,1753086773480796672,2025-07-21 08:32:53.480998900+00:00,21195142256800,1753086773480830720
1257,1.0,yhjj842,19.0,SUCCESS,2025-07-21 08:32:53.476983500+00:00,21195138316400,1753086773476890112,PRE_JOIN_ATTEMPT,2025-07-21 08:32:53.480998900+00:00,21195142631300,1753086773481204992,CRITICAL_ENTER_EVENT,2025-07-21 08:32:53.483008300+00:00,21195142984000,1753086773481557760,SUCCESS,2025-07-21 08:32:53.483008300+00:00,21195142906500,1753086773481480192,2025-07-21 08:32:53.483008300+00:00,21195142954000,1753086773481527808
1257,1.0,yhjj927,20.0,SUCCESS,2025-07-21 08:32:53.478992300+00:00,21195140374300,1753086773478948096,PRE_JOIN_ATTEMPT,2025-07-21 08:32:53.483008300+00:00,21195143454900,1753086773482028800,CRITICAL_ENTER_EVENT,2025-07-21 08:32:53.483008300+00:00,21195143650700,1753086773482224384,SUCCESS,2025-07-21 08:32:53.483008300+00:00,21195143584700,1753086773482158592,2025-07-21 08:32:53.483008300+00:00,21195143618700,1753086773482192384
1257,2.0,yhjj834,21.0,SUCCESS,2025-07-21 08:32:53.480998900+00:00,21195142638300,1753086773481212160,PRE_JOIN_ATTEMPT,2025-07-21 08:32:53.483008300+00:00,21195143735000,1753086773482308864,CRITICAL_ENTER_EVENT,2025-07-21 08:32:53.483008300+00:00,21195144550700,1753086773483124480,SUCCESS,2025-07-21 08:32:53.483008300+00:00,21195143834000,1753086773482407680,2025-07-21 08:32:53.483008300+00:00,21195143875500,1753086773482449408
1257,2.0,yhjj974,22.0,SUCCESS,2025-07-21 08:32:53.483008300+00:00,21195143854000,1753086773482427904,PRE_JOIN_ATTEMPT,2025-07-21 08:32:53.485017100+00:00,21195145210800,1753086773483784704,CRITICAL_ENTER_EVENT,2025-07-21 08:32:53.485017100+00:00,21195146023500,1753086773484597248,SUCCESS,2025-07-21 08:32:53.485017100+00:00,21195145336500,1753086773483910400,2025-07-21 08:32:53.485017100+00:00,21195145495900,1753086773484069632
1257,2.0,yhjj919,23.0,SUCCESS,2025-07-21 08:32:53.483008300+00:00,21195144036100,1753086773482609920,PRE_JOIN_ATTEMPT,2025-07-21 08:32:53.485017100+00:00,21195146113400,1753086773484687104,CRITICAL_ENTER_EVENT,2025-07-21 08:32:53.485017100+00:00,21195146235400,1753086773484809216,SUCCESS,2025-07-21 08:32:53.485017100+00:00,21195146186800,1753086773484760576,2025-07-21 08:32:53.485017100+00:00,21195146213300,1753086773484787200
1257,2.0,yhjj866,24.0,SUCCESS,2025-07-21 08:32:53.485017100+00:00,21195145542700,1753086773484116480,PRE_JOIN_ATTEMPT,2025-07-21 08:32:53.485017100+00:00,21195146301400,1753086773484875264,CRITICAL_ENTER_EVENT,2025-07-21 08:32:53.486773500+00:00,21195146684200,1753086773485257984,SUCCESS,2025-07-21 08:32:53.485017100+00:00,21195146437300,1753086773485011200,2025-07-21 08:32:53.486773500+00:00,21195146645000,1753086773485218816
1257,2.0,yhjj946,25.0,SUCCESS,2025-07-21 08:32:53.486773500+00:00,21195146695900,1753086773485269760,PRE_JOIN_ATTEMPT,2025-07-21 08:32:53.486773500+00:00,21195146743400,1753086773485317120,CRITICAL_ENTER_EVENT,2025-07-21 08:32:53.486773500+00:00,21195146871000,1753086773485444864,SUCCESS,2025-07-21 08:32:53.486773500+00:00,21195146809600,1753086773485383424,2025-07-21 08:32:53.486773500+00:00,21195146841700,1753086773485415424
1257,2.0,yhjj847,26.0,SUCCESS,2025-07-21 08:32:53.486773500+00:00,21195147127500,1753086773485701376,PRE_JOIN_ATTEMPT,2025-07-21 08:32:53.486773500+00:00,21195147169900,1753086773485743616,CRITICAL_ENTER_EVENT,2025-07-21 08:32:53.486773500+00:00,21195147283400,1753086773485857280,SUCCESS,2025-07-21 08:32:53.486773500+00:00,21195147229800,1753086773485803520,2025-07-21 08:32:53.486773500+00:00,21195147257900,1753086773485831680
1257,2.0,yhjj896,27.0,SUCCESS,2025-07-21 08:32:53.486773500+00:00,21195147733000,1753086773486306816,PRE_JOIN_ATTEMPT,2025-07-21 08:32:53.486773500+00:00,21195147826800,1753086773486400512,CRITICAL_ENTER_EVENT,2025-07-21 08:32:53.486773500+00:00,21195148018700,1753086773486592512,SUCCESS,2025-07-21 08:32:53.486773500+00:00,21195147966300,1753086773486540032,2025-07-21 08:32:53.486773500+00:00,21195147994400,1753086773486568192
1257,2.0,yhjj854,28.0,SUCCESS,2025-07-21 08:32:53.486773500+00:00,21195147764700,1753086773486338560,PRE_JOIN_ATTEMPT,2025-07-21 08:32:53.486773500+00:00,21195148145000,1753086773486718720,CRITICAL_ENTER_EVENT,2025-07-21 08:32:53.486773500+00:00,21195148307700,1753086773486881536,SUCCESS,2025-07-21 08:32:53.486773500+00:00,21195148228400,1753086773486802176,2025-07-21 08:32:53.486773500+00:00,21195148277300,1753086773486851072
1257,2.0,yhjj871,29.0,SUCCESS,2025-07-21 08:32:53.488781200+00:00,21195148927700,1753086773487501568,PRE_JOIN_ATTEMPT,2025-07-21 08:32:53.488781200+00:00,21195148974300,1753086773487548160,CRITICAL_ENTER_EVENT,2025-07-21 08:32:53.488781200+00:00,21195149075500,1753086773487649280,SUCCESS,2025-07-21 08:32:53.488781200+00:00,21195149025000,1753086773487598848,2025-07-21 08:32:53.488781200+00:00,21195149052300,1753086773487625984
1257,2.0,yhjj840,30.0,SUCCESS,2025-07-21 08:32:53.490788400+00:00,21195150652300,1753086773489225984,PRE_JOIN_ATTEMPT,2025-07-21 08:32:53.490788400+00:00,21195150764900,1753086773489338624,CRITICAL_ENTER_EVENT,2025-07-21 08:32:53.490788400+00:00,21195151000200,1753086773489573888,SUCCESS,2025-07-21 08:32:53.490788400+00:00,21195150926900,1753086773489500672,2025-07-21 08:32:53.490788400+00:00,21195150973000,1753086773489546752
1257,2.0,yhjj822,31.0,SUCCESS,2025-07-21 08:32:53.490788400+00:00,21195151120400,1753086773489694208,PRE_JOIN_ATTEMPT,2025-07-21 08:32:53.490788400+00:00,21195151165000,1753086773489738752,CRITICAL_ENTER_EVENT,2025-07-21 08:32:53.490788400+00:00,21195151261100,1753086773489835008,SUCCESS,2025-07-21 08:32:53.490788400+00:00,21195151214900,1753086773489788672,2025-07-21 08:32:53.490788400+00:00,21195151238600,1753086773489812480
1257,2.0,yhjj924,32.0,SUCCESS,2025-07-21 08:32:53.492796400+00:00,21195152723100,1753086773491297024,PRE_JOIN_ATTEMPT,2025-07-21 08:32:53.492796400+00:00,21195152773500,1753086773491347200,CRITICAL_ENTER_EVENT,2025-07-21 08:32:53.492796400+00:00,21195152882900,1753086773491456768,SUCCESS,2025-07-21 08:32:53.492796400+00:00,21195152826100,1753086773491399936,2025-07-21 08:32:53.492796400+00:00,21195152858800,1753086773491432704
1257,2.0,yhjj910,33.0,SUCCESS,2025-07-21 08:32:53.492796400+00:00,21195153353300,1753086773491927040,PRE_JOIN_ATTEMPT,2025-07-21 08:32:53.492796400+00:00,21195153412800,1753086773491986688,CRITICAL_ENTER_EVENT,2025-07-21 08:32:53.492796400+00:00,21195153534400,1753086773492108288,SUCCESS,2025-07-21 08:32:53.492796400+00:00,21195153479000,1753086773492052736,2025-07-21 08:32:53.492796400+00:00,21195153507300,1753086773492081152
1257,2.0,yhjj911,34.0,SUCCESS,2025-07-21 08:32:53.492796400+00:00,21195153463900,1753086773492037632,PRE_JOIN_ATTEMPT,2025-07-21 08:32:53.492796400+00:00,21195153632200,1753086773492206080,CRITICAL_ENTER_EVENT,2025-07-21 08:32:53.492796400+00:00,21195153855900,1753086773492429824,SUCCESS,2025-07-21 08:32:53.492796400+00:00,21195153781300,1753086773492355072,2025-07-21 08:32:53.492796400+00:00,21195153829300,1753086773492403200
1257,2.0,yhjj843,35.0,SUCCESS,2025-07-21 08:32:53.494804100+00:00,21195155432000,1753086773494005760,PRE_JOIN_ATTEMPT,2025-07-21 08:32:53.494804100+00:00,21195155679900,1753086773494253824,CRITICAL_ENTER_EVENT,2025-07-21 08:32:53.494804100+00:00,21195156032300,1753086773494606080,SUCCESS,2025-07-21 08:32:53.494804100+00:00,21195155963700,1753086773494537472,2025-07-21 08:32:53.494804100+00:00,21195156001800,1753086773494575616
1257,2.0,yhjj906,36.0,SUCCESS,2025-07-21 08:32:53.494804100+00:00,21195155685200,1753086773494258944,PRE_JOIN_ATTEMPT,2025-07-21 08:32:53.494804100+00:00,21195156178500,1753086773494752256,CRITICAL_ENTER_EVENT,2025-07-21 08:32:53.494804100+00:00,21195156470500,1753086773495044352,SUCCESS,2025-07-21 08:32:53.494804100+00:00,21195156407700,1753086773494981376,2025-07-21 08:32:53.494804100+00:00,21195156443700,1753086773495017472
1257,2.0,yhjj922,37.0,SUCCESS,2025-07-21 08:32:53.494804100+00:00,21195155917000,1753086773494490880,PRE_JOIN_ATTEMPT,2025-07-21 08:32:53.496810900+00:00,21195156690300,1753086773495264000,CRITICAL_ENTER_EVENT,2025-07-21 08:32:53.496810900+00:00,21195156890300,1753086773495464192,SUCCESS,2025-07-21 08:32:53.496810900+00:00,21195156843100,1753086773495416832,2025-07-21 08:32:53.496810900+00:00,21195156868600,1753086773495442432
1257,2.0,yhjj877,38.0,SUCCESS,2025-07-21 08:32:53.494804100+00:00,21195155945300,1753086773494519040,PRE_JOIN_ATTEMPT,2025-07-21 08:32:53.496810900+00:00,21195157342300,1753086773495916032,CRITICAL_ENTER_EVENT,2025-07-21 08:32:53.496810900+00:00,21195157662900,1753086773496236800,SUCCESS,2025-07-21 08:32:53.496810900+00:00,21195157560800,1753086773496134656,2025-07-21 08:32:53.496810900+00:00,21195157614000,1753086773496187904
1257,2.0,yhjj907,39.0,SUCCESS,2025-07-21 08:32:53.496810900+00:00,21195158368900,1753086773496942592,PRE_JOIN_ATTEMPT,2025-07-21 08:32:53.496810900+00:00,21195158462000,1753086773497035776,CRITICAL_ENTER_EVENT,2025-07-21 08:32:53.498817600+00:00,21195158642000,1753086773497215744,SUCCESS,2025-07-21 08:32:53.498817600+00:00,21195158509800,1753086773497083648,2025-07-21 08:32:53.498817600+00:00,21195158602500,1753086773497176320
1257,2.0,yhjj960,40.0,SUCCESS,2025-07-21 08:32:53.498817600+00:00,21195159399800,1753086773497973504,PRE_JOIN_ATTEMPT,2025-07-21 08:32:53.498817600+00:00,21195159446900,1753086773498020608,CRITICAL_ENTER_EVENT,2025-07-21 08:32:53.498817600+00:00,21195159668400,1753086773498242304,SUCCESS,2025-07-21 08:32:53.498817600+00:00,21195159506900,1753086773498080768,2025-07-21 08:32:53.498817600+00:00,21195159629000,1753086773498202880
1257,3.0,yhjj839,41.0,SUCCESS,2025-07-21 08:32:53.500826+00:00,21195161614000,1753086773500187904,PRE_JOIN_ATTEMPT,2025-07-21 08:32:53.500826+00:00,21195161670800,1753086773500244480,CRITICAL_ENTER_EVENT,2025-07-21 08:32:53.500826+00:00,21195161766500,1753086773500340224,SUCCESS,2025-07-21 08:32:53.500826+00:00,21195161728600,1753086773500302336,2025-07-21 08:32:53.500826+00:00,21195161749400,1753086773500323328
1257,3.0,yhjj856,42.0,SUCCESS,2025-07-21 08:32:53.502573700+00:00,21195162843300,1753086773501417216,PRE_JOIN_ATTEMPT,2025-07-21 08:32:53.502573700+00:00,21195162883000,1753086773501456896,CRITICAL_ENTER_EVENT,2025-07-21 08:32:53.518402600+00:00,21195178493600,1753086773517067520,SUCCESS,2025-07-21 08:32:53.502573700+00:00,21195162920300,1753086773501494016,2025-07-21 08:32:53.502573700+00:00,21195162939000,1753086773501512704
1257,3.0,yhjj824,43.0,SUCCESS,2025-07-21 08:32:53.577539+00:00,21195237600500,1753086773576174336,PRE_JOIN_ATTEMPT,2025-07-21 08:32:53.577539+00:00,21195237646600,1753086773576220416,CRITICAL_ENTER_EVENT,2025-07-21 08:32:53.577539+00:00,21195237771000,1753086773576344832,SUCCESS,2025-07-21 08:32:53.577539+00:00,21195237730500,1753086773576304384,2025-07-21 08:32:53.577539+00:00,21195237752700,1753086773576326400
1257,3.0,yhjj823,46.0,SUCCESS,2025-07-21 08:32:53.577539+00:00,21195238449900,1753086773577023744,PRE_JOIN_ATTEMPT,2025-07-21 08:32:53.579545900+00:00,21195239646100,1753086773578219776,CRITICAL_ENTER_EVENT,2025-07-21 08:32:53.579545900+00:00,21195240895800,1753086773579469568,SUCCESS,2025-07-21 08:32:53.579545900+00:00,21195240710800,1753086773579284480,2025-07-21 08:32:53.579545900+00:00,21195240863000,1753086773579436800
1257,3.0,yhjj976,47.0,SUCCESS,2025-07-21 08:32:53.577539+00:00,21195238670600,1753086773577244416,PRE_JOIN_ATTEMPT,2025-07-21 08:32:53.579545900+00:00,21195241033500,1753086773579607296,CRITICAL_ENTER_EVENT,2025-07-21 08:32:53.581552200+00:00,21195241391500,1753086773579965184,SUCCESS,2025-07-21 08:32:53.579545900+00:00,21195241107800,1753086773579681536,2025-07-21 08:32:53.581552200+00:00,21195241297200,1753086773579870976
1257,3.0,yhjj977,48.0,SUCCESS,2025-07-21 08:32:53.577539+00:00,21195238730100,1753086773577303808,PRE_JOIN_ATTEMPT,2025-07-21 08:32:53.581552200+00:00,21195241598700,1753086773580172544,CRITICAL_ENTER_EVENT,2025-07-21 08:32:53.581552200+00:00,21195241749000,1753086773580322816,SUCCESS,2025-07-21 08:32:53.581552200+00:00,21195241706500,1753086773580280320,2025-07-21 08:32:53.581552200+00:00,21195241733300,1753086773580307200
1257,3.0,yhjj908,49.0,SUCCESS,2025-07-21 08:32:53.577539+00:00,21195238754400,1753086773577328128,PRE_JOIN_ATTEMPT,2025-07-21 08:32:53.581552200+00:00,21195241912600,1753086773580486400,CRITICAL_ENTER_EVENT,2025-07-21 08:32:53.581552200+00:00,21195242014800,1753086773580588544,SUCCESS,2025-07-21 08:32:53.581552200+00:00,21195241979100,1753086773580552960,2025-07-21 08:32:53.581552200+00:00,21195241998900,1753086773580572672
1257,3.0,yhjj880,50.0,SUCCESS,2025-07-21 08:32:53.577539+00:00,21195239051500,1753086773577625344,PRE_JOIN_ATTEMPT,2025-07-21 08:32:53.581552200+00:00,21195242779700,1753086773581353472,CRITICAL_ENTER_EVENT,2025-07-21 08:32:53.581552200+00:00,21195242917200,1753086773581490944,SUCCESS,2025-07-21 08:32:53.581552200+00:00,21195242873900,1753086773581447680,2025-07-21 08:32:53.581552200+00:00,21195242898600,1753086773581472512
1257,3.0,yhjj841,44.0,SUCCESS,2025-07-21 08:32:53.577539+00:00,21195237850600,1753086773576424448,PRE_JOIN_ATTEMPT,2025-07-21 08:32:53.583557900+00:00,21195243651100,1753086773582224896,CRITICAL_ENTER_EVENT,2025-07-21 08:32:53.584051200+00:00,21195243930700,1753086773582504448,SUCCESS,2025-07-21 08:32:53.584051200+00:00,21195243884300,1753086773582458112,2025-07-21 08:32:53.584051200+00:00,21195243907500,1753086773582481408
1257,3.0,yhjj953,51.0,SUCCESS,2025-07-21 08:32:53.579545900+00:00,21195239288100,1753086773577861888,PRE_JOIN_ATTEMPT,2025-07-21 08:32:53.584051200+00:00,21195244284500,1753086773582858240,CRITICAL_ENTER_EVENT,2025-07-21 08:32:53.584051200+00:00,21195244403100,1753086773582977024,SUCCESS,2025-07-21 08:32:53.584051200+00:00,21195244366400,1753086773582940160,2025-07-21 08:32:53.584051200+00:00,21195244385800,1753086773582959616
1257,3.0,yhjj832,53.0,SUCCESS,2025-07-21 08:32:53.579545900+00:00,21195239524200,1753086773578097920,PRE_JOIN_ATTEMPT,2025-07-21 08:32:53.584051200+00:00,21195244547700,1753086773583121408,CRITICAL_ENTER_EVENT,2025-07-21 08:32:53.584051200+00:00,21195244809300,1753086773583383040,SUCCESS,2025-07-21 08:32:53.584051200+00:00,21195244766900,1753086773583340800,2025-07-21 08:32:53.584051200+00:00,21195244787500,1753086773583361280
1257,3.0,yhjj984,54.0,SUCCESS,2025-07-21 08:32:53.579545900+00:00,21195239603800,1753086773578177536,PRE_JOIN_ATTEMPT,2025-07-21 08:32:53.586075400+00:00,21195245839200,1753086773584412928,CRITICAL_ENTER_EVENT,2025-07-21 08:32:53.586075400+00:00,21195246546500,1753086773585120256,SUCCESS,2025-07-21 08:32:53.586075400+00:00,21195245992100,1753086773584566016,2025-07-21 08:32:53.586075400+00:00,21195246400800,1753086773584974592
1257,3.0,yhjj897,55.0,SUCCESS,2025-07-21 08:32:53.579545900+00:00,21195239688400,1753086773578262272,PRE_JOIN_ATTEMPT,2025-07-21 08:32:53.588082100+00:00,21195249744500,1753086773588318208,CRITICAL_ENTER_EVENT,2025-07-21 08:32:53.590088200+00:00,21195250226700,1753086773588800512,SUCCESS,2025-07-21 08:32:53.590088200+00:00,21195250185100,1753086773588758784,2025-07-21 08:32:53.590088200+00:00,21195250213700,1753086773588787456
1257,3.0,yhjj996,56.0,SUCCESS,2025-07-21 08:32:53.579545900+00:00,21195239705600,1753086773578279424,PRE_JOIN_ATTEMPT,2025-07-21 08:32:53.590088200+00:00,21195250463100,1753086773589036800,CRITICAL_ENTER_EVENT,2025-07-21 08:32:53.590088200+00:00,21195250596700,1753086773589170432,SUCCESS,2025-07-21 08:32:53.590088200+00:00,21195250552500,1753086773589126400,2025-07-21 08:32:53.590088200+00:00,21195250582700,1753086773589156608
1257,3.0,yhjj943,57.0,SUCCESS,2025-07-21 08:32:53.579545900+00:00,21195239725500,1753086773578299392,PRE_JOIN_ATTEMPT,2025-07-21 08:32:53.590088200+00:00,21195250727800,1753086773589301504,CRITICAL_ENTER_EVENT,2025-07-21 08:32:53.594863200+00:00,21195254882100,1753086773593455872,SUCCESS,2025-07-21 08:32:53.590088200+00:00,21195250776800,1753086773589350656,2025-07-21 08:32:53.594863200+00:00,21195254753100,1753086773593326848
1257,3.0,yhjj945,58.0,SUCCESS,2025-07-21 08:32:53.579545900+00:00,21195239823000,1753086773578396672,PRE_JOIN_ATTEMPT,2025-07-21 08:32:53.594863200+00:00,21195254962800,1753086773593536512,CRITICAL_ENTER_EVENT,2025-07-21 08:32:53.594863200+00:00,21195255146600,1753086773593720320,SUCCESS,2025-07-21 08:32:53.594863200+00:00,21195255106200,1753086773593679872,2025-07-21 08:32:53.594863200+00:00,21195255134100,1753086773593707776
1257,3.0,yhjj878,59.0,SUCCESS,2025-07-21 08:32:53.579545900+00:00,21195239933600,1753086773578507520,PRE_JOIN_ATTEMPT,2025-07-21 08:32:53.594863200+00:00,21195255208300,1753086773593782016,CRITICAL_ENTER_EVENT,2025-07-21 08:32:53.594863200+00:00,21195255315900,1753086773593889792,SUCCESS,2025-07-21 08:32:53.594863200+00:00,21195255276400,1753086773593850112,2025-07-21 08:32:53.594863200+00:00,21195255301400,1753086773593875200
